	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Domesticated	Template	Target
156	0.175641387	0.064445952	0.186691191	0.10664087	0.330494354	0.235357746	0.384670839	-0.202340939	0.108671935	0.073706034	0.151450773	0.097864339	-2.35162838	2.35162838	0.602595703	-0.406020523	0.323857716	0.099300295	-0.457923081	0.528745006	-0.194852662	-0.167693129	-0.073911195	-0.062449501	-0.062942361	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_NewRunPU170_tclust
157	0.901225923	0.832315376	0.860198462	0.7476337	0.884833545	0.744862718	0.818376914	0.660648691	0.766900875	0.761906265	0.730789737	0.827936231	4.640012211	-4.640012211	-0.082664819	0.264841513	0.095416719	-0.136961551	0.049996082	0.212447741	-0.061244203	-0.190678567	0.234760487	0.055622013	-0.178580906	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_SameEarlierALP68_tclust
158	0.678855104	0.849448201	0.72961221	0.807389748	0.767397525	0.694479522	0.887362612	0.650476772	0.711246901	0.703320615	0.676873668	0.760179093	4.114038406	-4.114038406	0.534700279	0.2408214	0.543524711	-0.228430867	0.274910445	-0.007071035	0.130257195	-0.182452783	-0.086391581	0.151381943	-0.102584074	ECU	Domesticated	filtered_NewRunLP74_tclust	filtered_SameEarlierALP75_tclust
159	0.75391314	0.51844557	0.482355025	0.507789493	0.592108003	0.497444395	0.711013975	0.270048227	0.466356801	0.442053837	0.415951324	0.441301603	1.554526065	-1.554526065	-0.323621964	0.098706731	0.546037682	-0.160982878	-0.066732083	0.301285521	-0.076726962	0.064180319	-0.106395089	0.142850268	0.035211679	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunDP99_tclust
160	0.771361192	0.557442172	0.61152634	0.578887925	0.695783132	0.678610543	0.690996328	0.392766615	0.589782505	0.473471895	0.581558052	0.611048697	2.573657439	-2.573657439	-0.188621321	-0.103630564	0.187862901	0.148733457	-0.141807184	0.301574794	-0.035429641	-0.27005855	-0.014768665	0.157540712	0.087198296	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunLP47_tclust
161	0.595211	0.604542673	0.595772762	0.551273899	0.567143742	0.613432935	0.664221459	0.412620964	0.628991955	0.482265484	0.638059032	0.433493645	2.173486563	-2.173486563	0.352416077	-0.235043962	0.207883183	0.302014555	0.087529421	-0.01603821	-0.107665002	0.164670476	-0.054571557	0.299517899	-0.16787908	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunLP49_tclust
162	0.670957907	0.727545007	0.786637212	0.601450316	0.882481297	0.829516135	0.857999614	0.519852205	0.69150036	0.556647829	0.802410763	0.573736909	3.752073791	-3.752073791	0.404671777	-0.548995847	0.245136939	0.299692837	0.198587299	0.69881637	-0.13704354	0.04071718	0.040156085	0.005967302	-0.133204673	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunLP74_tclust
163	0.56749314	0.637210254	0.719372138	0.672000992	0.864366589	0.793927967	0.758340876	0.463315107	0.526842385	0.548931191	0.775334686	0.595724223	3.251244404	-3.251244404	0.586780314	-0.424209456	0.042788639	0.261393451	0.131997124	0.583413398	0.151666065	-0.247053501	-0.246953178	-0.305158395	-0.109997582	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunLP87_tclust
164	0.834169271	0.341204898	0.316127545	0.299150112	0.37842902	0.527043726	0.464055797	0.146234547	0.314554119	0.314932984	0.331436763	0.502944828	0.300387304	-0.300387304	-0.913427141	0.115219553	0.164532945	0.205672903	-0.253410829	-0.024907365	-0.572176937	-0.514536484	-0.084013226	0.151550338	0.359139192	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunPU167_tclust
165	0.420122836	0.52815657	0.575083136	0.510951517	0.519412743	0.669338517	0.629566134	0.276862579	0.573139982	0.438224216	0.655057975	0.452994422	1.7286699	-1.7286699	0.746697048	-0.645692658	0.111160238	0.310985077	-0.002748053	-0.060758351	-0.141411939	-0.122959906	-0.125078481	0.174165362	-0.114563895	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_NewRunPU170_tclust
