	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	batch	Population	batchpop	Template	Target
39	0.177869816	0.20952208	0.281815487	0.214625434	0.090402617	0.184127341	0.203614593	-0.313091158	-0.049274771	0.030953056	0.007501149	-0.009240376	-2.928652472	2.928652472	0.422325237	-0.343761251	-0.089586272	-0.250757807	0.279458572	-0.25320033	0.21604492	-0.017381774	0.209888023	-0.151455805	0.013671017	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_YE188_tclust
40	0.235899202	0.221175499	0.175089292	0.173245205	0.195437968	0.147813076	0.297255981	-0.10602502	-0.02659641	-0.013478673	0.135574535	0.15100563	-2.480268815	2.480268815	0.368208559	0.0224354	0.276125618	0.117183231	0.225548117	0.09602078	-0.026663525	-0.419582722	-0.046970024	0.022692289	-0.190667531	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_YE189_tclust
41	0.295905692	0.111622592	0.188477497	0.197410279	0.258877821	0.305032573	0.13590754	-0.330860551	-0.176452749	0.089567874	0.184842499	0.005234581	-2.737150741	2.737150741	0.052662137	-0.395229162	-0.522469521	0.087196806	0.079778596	0.167061995	0.009246243	-0.179579038	-0.399219246	-0.564137327	0.059242186	ECU	TGG	ECU-TGG	filtered_BL65_tclust	filtered_YE41_tclust
42	0.338975688	0.333499281	0.312311968	0.308126902	0.263286046	0.395708336	0.291353246	0.252168867	0.241651367	0.314197067	0.336135915	0.240068056	-0.711591663	0.711591663	0.569808955	0.195703058	-0.135086256	0.538743097	0.033732177	-0.38612866	-0.273045161	-0.074342849	-0.06562436	-0.025513906	0.030589306	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_BL65_tclust
43	0.23948697	0.292264759	0.213474654	0.207380666	0.366072865	0.319441954	0.212770412	0.080417374	0.12324551	0.305666854	0.134764121	0.19099236	-1.535691041	1.535691041	0.745406918	0.401682841	-0.323490328	0.105873147	-0.055048053	0.098151095	-0.370805217	-0.110643308	-0.043628076	-0.170434422	0.220294678	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_DP51LP79_tclust
44	0.495554871	0.125358956	0.142120211	0.191846409	0.228239757	0.188243316	0.117597011	0.020994333	0.076127143	0.090537079	0.058835446	0.107304671	-2.341384517	2.341384517	-0.31673792	0.54392574	-0.267942773	0.395581067	-0.228345357	-0.034272165	-0.067365024	-0.088738986	-0.00430614	0.107152806	0.187605281	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_DP77_tclust
45	0.120773904	0.037017413	0.027508502	0.170966261	0.250976845	-0.014318932	0.111538003	-0.073246105	0.007730624	0.205385052	-0.048484512	0.182301672	-3.083301519	3.083301519	0.779697866	0.85335287	-0.11358053	-0.111987787	-0.639357382	0.003116808	-0.073033328	-0.374163197	-0.174094186	-0.092296946	-0.08761539	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_WH10_tclust
46	0.542824751	0.21488851	0.091566913	0.137642694	0.143469753	0.139832591	0.180176243	-0.05096441	0.041970945	0.099247308	0.059135722	0.044890086	-2.515210825	2.515210825	-0.503216042	0.494267327	-0.019780851	0.195320514	0.067416757	-0.132982528	-0.338535569	0.095217487	-0.099434164	0.202420232	0.079020499	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_WH18_tclust
47	0.487300268	0.159769383	0.262912222	0.217242588	0.233257483	0.043631221	0.135350033	-0.058845815	0.104919192	0.191324104	0.001833656	-0.000153921	-2.374616394	2.374616394	-0.275053897	0.59805331	-0.291331723	-0.037503565	-0.260903069	-0.098210073	0.094226082	0.395301424	0.271833089	0.016833782	-0.163350867	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_YE182_tclust
48	0.380216278	0.381031685	0.30271	0.204895169	0.279167379	0.300366765	0.287683642	0.002114063	0.105709667	0.274866804	0.251367209	0.211734211	-1.251544795	1.251544795	0.255255778	0.099426523	-0.16647143	0.014791641	0.256827385	-0.101305242	-0.45232065	-0.122641973	0.023313199	-0.120860884	-0.128446817	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_YE188_tclust
