	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Template	Target
66	0.42809816	0.261387435	0.19343604	0.093574548	0.130044268	0.028571133	0.110922171	-0.36378504	-0.166927403	-0.214450362	-0.127873598	-0.195615168	-3.73158847	3.73158847	-0.534625912	0.039554006	-0.162173244	-0.186285168	0.760116224	0.296967987	0.244743005	0.267917964	0.353297081	0.159235241	-0.014557476	Timor	filtered_DP77_tclust	filtered_YE188_tclust
67	0.361703726	-0.079025419	-0.076448744	-0.007533764	-0.230733451	-0.10113839	0.052542236	-0.700956321	-0.435979673	-0.459437624	-0.369495979	-0.172083465	-5.870217059	5.870217059	-0.964453833	-0.178744721	0.369502932	-0.307324162	0.341370542	-0.183339551	0.345390482	-0.432206481	0.102973595	0.110947134	0.281674895	Timor	filtered_DP77_tclust	filtered_YE189_tclust
68	0.338049243	-0.018453147	0.116150718	-0.079985999	0.069400402	0.061487051	-0.202460505	-0.4986638	-0.346623042	-0.21325739	-0.291450058	-0.356675677	-5.204284134	5.204284134	-0.551977271	0.035975152	-0.929904121	0.11733547	0.28364117	0.282785592	0.073194046	0.325875431	0.473686761	-0.334926749	0.385791983	Timor	filtered_DP77_tclust	filtered_YE41_tclust
69	0.112764416	0.203859223	0.11464896	0.208713097	0.152756083	0.227735242	0.057215048	-0.131869311	-0.033193514	0.135018423	0.084446863	-0.051444842	-2.946860656	2.946860656	0.783716617	0.109546794	-0.519382313	0.186554934	0.197431684	-0.250911328	-0.045170371	0.090964252	-0.269204463	-0.139023535	0.164730019	Timor	filtered_WH10_tclust	filtered_BL65_tclust
70	-0.159341798	-0.234339	-0.159929405	0.382886492	0.160025617	-0.17442317	-0.200221294	-0.517251385	-0.305839082	-0.120814471	-0.352372481	-0.030535805	-5.389978231	5.389978231	1.035284423	0.739620428	-0.697659575	-0.508377406	-0.714474116	-0.0350865	1.328837754	-0.636873415	-0.650298992	-0.207434888	0.256824298	Timor	filtered_WH10_tclust	filtered_BR82_tclust
71	0.124512376	0.114956802	0.079557226	0.201453065	0.050792178	0.054149083	0.157589146	-0.006547792	-0.013698464	0.022411086	0.017564665	0.053060751	-3.18320792	3.18320792	0.68137622	0.44147124	0.174594647	0.31005009	-0.019102654	-0.393662832	0.127724245	-0.197139361	-0.075758652	0.086789949	-0.056531381	Timor	filtered_WH10_tclust	filtered_DP51LP79_tclust
72	0.487014977	0.090926196	0.156998566	0.361433335	0.102116824	0.148680317	0.097250518	-0.059206911	-0.038564698	-0.055998639	-0.016132478	-0.000773879	-2.80717644	2.80717644	-0.48281473	0.408239319	-0.169670666	0.329329302	0.039289751	-0.355661464	0.681507669	-0.017274672	-0.102832879	0.065644026	0.273140531	Timor	filtered_WH10_tclust	filtered_DP77_tclust
73	0.58163762	0.099209422	0.284487919	0.41283891	0.133492527	0.129482556	0.237147757	-0.002419556	0.116823287	0.049021443	0.165816827	0.094994423	-1.885882859	1.885882859	-0.618046665	0.236999854	0.059749658	0.339464881	-0.237644377	-0.46040639	0.64783555	0.042295699	-0.053365715	0.128383647	-0.18556146	Timor	filtered_WH10_tclust	filtered_WH18_tclust
74	0.391284827	0.154976895	0.27352107	0.289621048	0.033917405	0.099120468	0.14859695	-0.052817145	-0.010245682	-0.036320344	0.01644612	-0.002576568	-2.764561051	2.764561051	-0.179867429	0.225138427	-0.011472882	0.268845142	0.197329871	-0.506588941	0.511674236	0.051054427	0.274075758	0.046952967	-0.052624739	Timor	filtered_WH10_tclust	filtered_YE182_tclust
75	0.352790023	0.285927748	0.341999371	0.318271033	0.190279744	0.201148326	0.37899362	0.085269668	0.12078083	0.15538743	0.195068661	0.183086732	-1.400338457	1.400338457	0.269556836	0.133296386	0.356328353	0.1425236	0.141462057	-0.301194004	0.155728466	-0.081641025	0.149910848	-0.034860155	-0.224047303	Timor	filtered_WH10_tclust	filtered_YE188_tclust
76	0.203767275	0.180553623	0.232742332	0.336843003	0.310735073	0.150581816	0.437482487	0.033814331	0.107657805	0.036072877	0.084539619	0.084720434	-1.918310329	1.918310329	0.657168119	0.129225621	0.624059525	0.087254448	-0.061895379	0.261318916	0.512398968	0.00048359	-0.045280731	0.040760732	-0.057372975	Timor	filtered_WH10_tclust	filtered_YE189_tclust
77	0.236309642	0.16037593	0.280937312	0.252696226	0.071054101	0.151141646	0.184643919	-0.01590752	0.040761674	0.050673031	0.04705673	0.083136548	-2.543452588	2.543452588	0.394863145	0.150335995	0.023611553	0.244838279	0.042253144	-0.480628749	0.277028274	-0.117182389	0.301368987	-0.029497241	-0.036141419	Timor	filtered_WH10_tclust	filtered_YE41_tclust
78	0.510029075	0.279361686	0.189893699	0.160670139	0.12204931	0.284205604	0.26206332	-0.263055928	-0.075192804	0.224336067	0.185613845	0.237386553	-2.011744383	2.011744383	-0.456301874	-0.107209214	-0.07849072	-0.25933822	0.196109454	-0.340065222	-0.579776314	-0.428308168	-0.236373744	-0.27412509	0.001153247	Timor	filtered_WH18_tclust	filtered_BL65_tclust
79	0.16128575	0.296973121	0.031385546	-0.028901893	0.090498318	0.148482068	0.283952381	-0.189288439	-0.037601448	0.05108889	-0.048372871	0.100925997	-3.151376225	3.151376225	0.566370523	0.148469064	0.411231791	-0.200471965	0.370774802	0.035578926	-0.768217113	-0.291192951	0.065935041	0.165084772	0.169076736	Timor	filtered_WH18_tclust	filtered_BR82_tclust
80	-0.01484221	-0.061370435	-0.17548222	-0.131371171	-0.188010403	-0.057631544	0.166837566	-0.788320815	-0.389617228	-0.374951945	-0.148877478	-0.024345392	-5.797325704	5.797325704	0.248103008	-0.677682192	0.580740828	-0.347545974	0.185784798	-0.005930252	-0.293145977	-0.930267431	-0.311226374	0.109422736	-0.083613984	Timor	filtered_WH18_tclust	filtered_DP51LP79_tclust
81	0.078538989	0.205175959	0.041929818	-0.048183762	0.121672899	0.119657404	0.119143303	-0.339766738	-0.169502652	-0.175479268	-0.00245715	0.040198275	-3.897723879	3.897723879	0.555863949	-0.152980608	-0.07132956	0.049131523	0.494950738	0.314056235	-0.395103194	-0.574654078	0.048019367	0.116926444	-0.013723088	Timor	filtered_WH18_tclust	filtered_DP77_tclust
82	0.34016205	0.220046555	0.15997549	0.295376947	0.169815411	0.208307338	0.404837689	0.039667202	0.033161123	0.049962075	0.13383998	0.279927658	-1.82847513	1.82847513	0.184152561	0.22415833	0.640061366	0.142725585	0.075848418	-0.169326625	0.09814615	-0.56646482	-0.182047753	0.05432346	0.039923721	Timor	filtered_WH18_tclust	filtered_WH10_tclust
83	0.034090647	0.200970307	0.040106216	-0.010998464	0.102962702	0.05703792	0.19977663	-0.242519406	-0.093460823	-0.030956189	-0.064698715	0.076322276	-3.664470554	3.664470554	0.828815464	0.144751764	0.240114577	-0.147446658	0.237795342	0.110948582	-0.430963265	-0.42174655	0.09968463	0.09638982	-0.028392865	Timor	filtered_WH18_tclust	filtered_YE182_tclust
84	0.608830181	-0.0075336	0.091808543	-0.015751708	-0.174516882	0.052316973	0.317584928	-0.5726663	-0.293017599	-0.136216394	0.086105024	-0.093721728	-4.027225913	4.027225913	-1.397103106	-0.694791394	0.658493302	-0.035138218	0.148328498	-0.34309388	-0.35741485	-0.092560221	-0.188752756	-0.235358938	-0.323212294	Timor	filtered_WH18_tclust	filtered_YE188_tclust
85	0.629286837	0.32821517	0.230551527	0.273272189	0.444814298	0.229892871	0.383567471	0.098126479	0.079496891	0.079176639	0.166977744	0.369049885	-0.979992505	0.979992505	-0.527654089	0.581932757	0.255507953	0.05688845	0.131940466	0.510551648	-0.040986814	-0.577469286	-0.036030535	0.111050759	-0.002311054	Timor	filtered_WH18_tclust	filtered_YE189_tclust
86	0.517178345	-0.082216994	0.063075879	-0.096749112	-0.010540993	-0.176851094	0.111803584	-0.661801389	-0.313473182	-0.424991729	-0.171231451	-0.032957483	-5.049249191	5.049249191	-1.313576869	-0.174619296	0.261966923	-0.20721136	0.008415692	0.393115638	0.098538426	-0.572931364	0.347647728	0.174203214	-0.390056879	Timor	filtered_WH18_tclust	filtered_YE41_tclust
87	0.496126852	0.602804224	0.412441754	0.454865178	0.554430622	0.520497255	0.446525401	0.388686875	0.356747004	0.528569208	0.401020626	0.393557402	1.039894925	-1.039894925	0.521496369	0.494428818	-0.179613604	0.071701699	0.293348239	0.028177531	-0.333585129	0.01863781	-0.165196821	-0.066881811	0.151881982	Timor	filtered_YE41_tclust	filtered_BL65_tclust
88	0.40061929	0.611307008	0.277086561	0.252768772	0.550685355	0.473115686	0.266476002	0.180358907	0.219680737	0.3016981	0.241883249	0.190482095	-0.376455406	0.376455406	0.53512506	0.406080854	-0.556218955	0.065801136	0.697809455	0.511169807	-0.526549471	0.101465707	-0.073317748	0.126753957	0.35444323	Timor	filtered_YE41_tclust	filtered_BR82_tclust
